City,Region,Country,AirQuality,WaterPollution
Accra, Greater Accra Region,Ghana,20.555555555555557,90.78947368421052
Chiguayante, Biobio Region,Chile,50.0,50.0
Chillan, Nuble Region,Chile,37.5,50.0
Zwickau, Saxony,Germany,75.0,50.0
Freetown, Western Area,Sierra Leone,25.0,100.0
Abuja, Federal Capital Territory,Nigeria,56.25,71.42857142857143
Lome, Maritime,Togo,37.5,75.0
Flensburg, Schleswig-Holstein,Germany,87.5,50.0
Amman, Amman Governorate,Jordan,34.03846153846154,63.10483870967742
Tübingen, Baden-Wurttemberg,Germany,89.28571428571428,8.333333333333332
Yaounde, Centre,Cameroon,14.0625,88.63636363636364
Coyhaique, Aysen Region,Chile,0.0,25.0
Malabo, ,Equatorial Guinea,70.0,35.0
Beirut, Beirut Governorate,Lebanon,16.964285714285715,81.80379746835442
Libreville, Estuaire Province,Gabon,37.5,87.5
Muscat, Muscat Governorate,Oman,65.57377049180329,31.73076923076923
Bangui, ,Central African Republic,0.0,100.0
Konstanz, Baden-Wurttemberg,Germany,79.16666666666667,25.0
Brazzaville, ,Republic of the Congo,37.5,62.5
Minden, North Rhine-Westphalia,Germany,100.0,50.0
Worms, Rhineland-Palatinate,Germany,60.0,100.0
Bujumbura, Bujumbura Mairie Province,Burundi,50.0,75.0
Wilhelmshaven, Lower Saxony,Germany,100.0,50.0
Kigali, Kigali province,Rwanda,56.25,50.0
Concon, Valparaiso Region,Chile,37.5,50.0
Doha, Ad Dawhah,Qatar,37.87313432835821,46.16935483870967
Dodoma, Dodoma Region,Tanzania,50.0,50.0
Copiapo, Atacama Region,Chile,12.5,50.0
Marburg, Hesse,Germany,85.0,0.0
Nairobi, ,Kenya,31.25,84.02777777777779
Atletico Morelia, Coquimbo Region,Chile,50.0,50.0
Coronel, Biobio Region,Chile,50.0,50.0
Lilongwe, Central Region,Malawi,45.0,95.0
Lusaka, Lusaka Province,Zambia,33.333333333333336,98.07692307692308
Manama, Capital Governorate,Bahrain,40.27777777777778,46.7741935483871
Catanzaro, Calabria,Italy,87.5,50.0
Maputo, ,Mozambique,57.692307692307686,68.75
Kampala, ,Uganda,19.0,84.09090909090908
Luanda, Luanda Province,Angola,15.000000000000002,81.25
Mbabane, Hhohho District,Eswatini,93.75,31.25
Maseru, Maseru District,Lesotho,45.83333333333333,80.0
Antananarivo, ,Madagascar,15.909090909090912,82.35294117647058
Gaborone, South-East District,Botswana,67.10526315789474,37.5
Harare, ,Zimbabwe,38.46153846153846,87.5
Bayreuth, Bavaria,Germany,75.0,0.0
Pretoria, Gauteng,South Africa,50.32894736842105,57.74647887323944
Astrakhan, Astrakhan Oblast,Russia,50.0,56.25
Port Louis, Port Louis District,Mauritius,50.0,55.95238095238096
Windhoek, Khomas Region,Namibia,72.82608695652173,54.34782608695652
Bamberg, Bavaria,Germany,95.83333333333331,12.5
Victoria, ,Seychelles,62.5,25.0
Aschaffenburg, Bavaria,Germany,77.77777777777779,40.0
Aalen, Baden-Wurttemberg,Germany,87.5,50.0
Fulda, Hesse,Germany,87.5,50.0
Bergheim, North Rhine-Westphalia,Germany,75.0,50.0
Liege, Wallonia,Belgium,54.54545454545454,28.57142857142857
Wesel, North Rhine-Westphalia,Germany,100.0,50.0
Frankfurt (Oder), Brandenburg,Germany,70.0,100.0
Osasco, Sao Paulo,Brazil,35.0,66.66666666666666
Fujairah, Emirate of Fujairah,United Arab Emirates,25.0,62.5
Friedrichshafen, Baden-Wurttemberg,Germany,90.0,0.0
Glasgow, Scotland,United Kingdom,64.90384615384616,19.444444444444443
Neu-Ulm, Bavaria,Germany,100.0,50.0
Schweinfurt, Bavaria,Germany,87.5,62.5
Passau, Bavaria,Germany,90.0,0.0
Lucerne, Canton of Lucerne,Switzerland,71.66666666666667,21.875
Arusha, Arusha Region,Tanzania,91.66666666666669,50.0
Curitiba, Parana,Brazil,73.10126582278481,48.91304347826087
Khabarovsk, Khabarovsk Krai,Russia,61.11111111111112,57.49999999999999
Talca, Maule Region,Chile,40.0,0.0
Rancagua, O'Higgins Region,Chile,0.0,100.0
Surat, Gujarat,India,46.35922330097088,61.96808510638297
Pula, Istria County,Croatia,88.63636363636364,27.27272727272727
Slavonski Brod, Brod-Posavina County,Croatia,27.27272727272727,17.857142857142854
Barquisimeto, Lara,Venezuela,25.0,100.0
Surakarta, Central Java,Indonesia,55.00000000000001,55.00000000000001
Hangzhou, Zhejiang,People's Republic of China,25.694444444444443,62.93103448275862
Seattle, Washington,United States of America,79.37062937062937,36.94852941176471
Siliguri, West Bengal,India,40.0,67.0
Durgapur, West Bengal,India,12.5,50.0
Baltimore, Maryland,United States of America,62.5,64.13043478260869
Adelaide, South Australia,Australia,88.84803921568627,24.605263157894736
Makhachkala, Republic of Dagestan,Russia,62.5,43.75
Stavropol, Stavropol Krai,Russia,85.71428571428572,28.57142857142857
Bacolod, Western Visayas,Philippines,39.285714285714285,75.0
Vladikavkaz, Republic of North Ossetia-Alania,Russia,50.0,25.0
Riehen, ,Switzerland,100.0,50.0
Tarlac City, ,Philippines,56.25,75.0
Rovinj, Istria County,Croatia,100.0,25.0
Porec, Istria County,Croatia,83.33333333333333,8.333333333333332
Saratov, Saratov Oblast,Russia,25.0,60.0
Orenburg, Orenburg Oblast,Russia,30.0,60.0
Saransk, Republic of Mordovia,Russia,0.0,100.0
Kirov, Kirov Oblast,Russia,66.66666666666666,66.66666666666666
Varazdin, Varazdin County,Croatia,91.66666666666669,33.333333333333336
Izhevsk, Udmurt Republic,Russia,33.333333333333336,70.83333333333334
Yoshkar-Ola, Mari El Republic,Russia,100.0,50.0
Stellenbosch, Western Cape,South Africa,75.0,58.333333333333336
Cape Town, Western Cape,South Africa,68.61111111111111,50.42613636363637
Durban, KwaZulu-Natal,South Africa,57.72058823529412,60.22727272727273
Cheboksary, Chuvash Republic,Russia,50.0,35.0
Treviso, Veneto,Italy,50.0,27.77777777777778
Penza, Penza Oblast,Russia,37.5,62.5
Ulyanovsk, Ulyanovsk Oblast,Russia,58.333333333333336,37.5
Koprivnica, Koprivnica-Krizevci County,Croatia,100.0,0.0
Bjelovar, Bjelovar-Bilogora County,Croatia,100.0,0.0
Mary, Mary Region,Turkmenistan,100.0,0.0
Banda Aceh, Aceh,Indonesia,71.42857142857143,12.5
Mecca, Mecca Province,Saudi Arabia,28.57142857142857,40.625
Tyumen, Tyumen Oblast,Russia,66.66666666666666,55.00000000000001
Xi'an, Shaanxi,People's Republic of China,5.952380952380953,72.05882352941177
Toledo, Castile-La Mancha,Spain,75.0,50.0
Kabul, Kabul,Afghanistan,18.42105263157895,81.06060606060606
Vukovar, Vukovar-Syrmia County,Croatia,25.0,75.0
Lhasa, Tibet,People's Republic of China,12.5,50.0
Huntington Beach, California,United States of America,85.71428571428572,65.625
Binjai, North Sumatra,Indonesia,75.0,0.0
Cuneo, Piedmont,Italy,82.5,0.0
Medan, North Sumatra,Indonesia,20.83333333333333,43.333333333333336
Pematangsiantar, North Sumatra,Indonesia,100.0,0.0
Hvar, Split-Dalmatia County,Croatia,75.0,25.0
Novara, Piedmont,Italy,65.0,0.0
Kemerovo, Kemerovo Oblast,Russia,40.0,60.0
Alessandria, Piedmont,Italy,35.714285714285715,56.25
Portland, Oregon,United States of America,74.12280701754386,36.3425925925926
Asti, Piedmont,Italy,62.5,50.0
Soest, North Rhine-Westphalia,Germany,100.0,50.0
Brescia, Lombardy,Italy,22.65625,70.53571428571428
Coventry, England,United Kingdom,56.66666666666666,31.818181818181817
St Albans, England,United Kingdom,62.5,18.75
Cremona, Lombardy,Italy,50.0,50.0
